,minutes,bonus,bps,total_points,output_clean_sheets
32927,0,0,0,0,0
33788,72,0,14,5,0
34434,0,0,0,0,0
35088,17,0,1,1,0
35753,14,0,3,1,0
36464,75,0,5,2,0
37241,15,3,30,8,0
38114,90,0,4,2,1
38115,90,0,4,2,1
38982,73,1,26,7,0
39735,90,0,-1,2,1
40698,76,0,5,2,0
41385,90,2,34,8,0
42758,90,0,6,2,0
43312,67,0,2,2,0
43978,90,2,31,8,1
43979,77,1,31,7,0
44981,90,1,27,7,0
45567,78,1,27,6,0
46273,0,0,0,0,0
47229,33,0,1,1,0
47791,90,0,0,1,1
48364,90,0,21,5,0
48955,83,0,3,2,1
49559,64,0,5,2,0
50167,18,0,8,1,0
50779,5,0,3,1,0
51393,90,3,33,9,0
52011,90,0,18,5,0
52632,25,0,2,1,0
53255,88,0,6,2,1
53884,90,3,47,12,0
54495,90,0,5,2,0
55092,22,0,0,1,0
55730,66,0,3,2,1
56350,16,0,4,1,0
56870,26,0,2,1,0
57573,0,0,0,0,0
58018,9,0,1,1,0
58242,67,0,1,2,0
58931,9,0,1,1,0
60108,13,0,2,1,0
60808,0,0,0,0,0
61472,0,0,0,0,0
62346,0,0,0,0,0
62347,0,0,0,0,0
62801,0,0,0,0,0
63994,21,0,0,1,0
64968,0,0,0,0,0
65676,0,0,0,0,0
66468,0,0,0,0,0
67191,0,0,0,0,0
68044,6,0,3,1,0
68838,0,0,0,0,0
70239,0,0,0,0,0
70831,12,0,4,1,0
70832,9,0,0,1,0
72054,0,0,0,0,0
72906,0,0,0,0,0
73485,0,0,0,0,0
74076,0,0,0,0,0
74677,0,0,0,0,0
75284,0,0,0,0,0
75907,0,0,0,0,0
76985,0,0,0,0,0
77626,0,0,0,0,0
78269,0,0,0,0,0
78858,0,0,0,0,0
79500,0,0,0,0,0
80156,0,0,0,0,0
80817,0,0,0,0,0
81483,0,0,0,0,0
82157,0,0,0,0,0
82835,0,0,0,0,0
83597,0,0,0,0,0
84423,0,0,0,0,0
84424,0,0,0,0,0
85141,0,0,0,0,0
85950,0,0,0,0,0
86760,0,0,0,0,0
87511,0,0,0,0,0
88259,0,0,0,0,0
89006,0,0,0,0,0
89895,0,0,0,0,0
89896,0,0,0,0,0
90456,0,0,0,0,0
91626,0,0,0,0,0
92409,0,0,0,0,0
93168,0,0,0,0,0
93786,0,0,0,0,0
94540,0,0,0,0,0
95504,0,0,0,0,0
96280,0,0,0,0,0
97112,0,0,0,0,0
98042,0,0,0,0,0
98826,0,0,0,0,0
61486,0,0,0,0,0
62366,0,0,0,0,0
63141,38,0,4,1,0
64012,90,0,10,1,0
64984,90,0,24,6,1
65536,0,0,0,0,0
66102,90,2,40,9,0
66858,90,0,14,3,1
67653,90,0,28,5,0
68471,90,0,14,3,1
69232,90,0,19,2,0
70259,90,0,23,6,1
71557,90,0,29,5,0
72068,90,0,16,2,0
72413,90,0,17,2,0
72986,86,0,7,2,0
73567,85,0,9,2,0
74159,90,0,6,3,1
74760,90,0,8,3,1
75368,90,0,16,4,0
76433,90,0,22,5,0
77072,82,0,13,2,0
77713,0,0,0,0,0
78351,3,0,2,1,0
78941,79,0,13,3,1
79589,78,2,31,8,1
80246,90,0,14,2,0
80907,90,3,43,13,0
81574,76,0,18,5,1
82249,60,0,14,3,1
82934,67,0,27,6,1
83702,71,0,5,1,0
83703,82,1,23,7,1
84527,90,0,14,2,0
85239,0,0,0,0,0
85240,0,0,0,0,0
86058,0,0,0,0,0
86863,0,0,0,0,0
88358,0,0,0,0,0
89113,0,0,0,0,0
90573,0,0,0,0,0
90574,0,0,0,0,0
91756,13,0,2,1,0
92510,78,0,18,3,1
93880,60,0,15,2,0
94660,75,0,10,3,1
94661,0,0,0,0,0
95618,73,0,14,2,0
96385,80,0,13,3,1
97233,85,2,35,8,1
97234,69,0,12,6,1
98152,24,0,5,1,0
98962,22,0,4,1,0
99615,24,0,7,1,0
100217,90,2,32,9,0
100906,90,2,25,7,0
101611,90,0,13,2,0
102328,0,0,0,0,0
23077,0,0,0,0,0
23618,10,0,3,1,0
24174,0,0,0,0,0
24740,0,0,0,0,0
25361,90,1,23,6,1
25951,90,0,11,2,0
26550,90,1,24,7,1
27150,61,0,9,1,0
27751,90,0,7,1,0
28340,90,0,7,1,0
28897,90,0,20,5,1
29504,90,0,8,0,0
30111,0,0,0,0,0
30722,0,0,0,0,0
31303,0,0,0,0,0
31815,0,0,0,0,0
32867,0,0,0,0,0
32868,0,0,0,0,0
33745,0,0,0,0,0
34391,0,0,0,0,0
35044,0,0,0,0,0
35708,0,0,0,0,0
36413,0,0,0,0,0
37191,0,0,0,0,0
38037,0,0,0,0,0
38038,0,0,0,0,0
39510,0,0,0,0,0
40213,0,0,0,0,0
41177,0,0,0,0,0
41867,0,0,0,0,0
42552,0,0,0,0,0
43143,0,0,0,0,0
43748,0,0,0,0,0
44707,0,0,0,0,0
44708,0,0,0,0,0
46064,0,0,0,0,0
46775,0,0,0,0,0
47615,90,0,16,1,0
48184,0,0,0,0,0
48766,0,0,0,0,0
49365,0,0,0,0,0
49971,0,0,0,0,0
50582,22,0,2,1,0
51195,0,0,0,0,0
51813,0,0,0,0,0
52432,0,0,0,0,0
53055,0,0,0,0,0
53682,0,0,0,0,0
54308,0,0,0,0,0
54887,0,0,0,0,0
55523,0,0,0,0,0
56154,0,0,0,0,0
57876,0,0,0,0,0
58691,0,0,0,0,0
59437,0,0,0,0,0
59857,90,0,15,1,0
59858,0,0,0,0,0
60594,0,0,0,0,0
61252,0,0,0,0,0
62021,1,0,3,1,0
62022,0,0,0,0,0
63221,27,0,5,1,0
63664,0,0,0,0,0
63665,60,0,7,2,0
64653,90,0,12,2,0
66204,90,0,10,1,0
66951,90,0,11,1,0
67761,90,0,20,1,0
68572,90,0,10,0,0
69326,90,0,8,1,0
69840,0,0,0,0,0
69841,90,0,23,6,1
71141,90,0,1,0,0
71808,90,0,8,1,0
32185,0,0,0,0,0
32600,0,0,0,0,0
33510,0,0,0,0,0
34176,0,0,0,0,0
34824,0,0,0,0,0
35487,0,0,0,0,0
36154,0,0,0,0,0
36942,0,0,0,0,0
37689,0,0,0,0,0
38802,0,0,0,0,0
38803,0,0,0,0,0
39226,0,0,0,0,0
39958,0,0,0,0,0
40922,0,0,0,0,0
41612,0,0,0,0,0
42307,0,0,0,0,0
42936,0,0,0,0,0
43513,0,0,0,0,0
44331,0,0,0,0,0
45166,0,0,0,0,0
45801,0,0,0,0,0
46509,0,0,0,0,0
47358,0,0,0,0,0
47922,0,0,0,0,0
48498,0,0,0,0,0
49096,0,0,0,0,0
49701,0,0,0,0,0
50310,0,0,0,0,0
50922,0,0,0,0,0
51538,0,0,0,0,0
52156,0,0,0,0,0
52779,0,0,0,0,0
53403,0,0,0,0,0
54032,0,0,0,0,0
54621,0,0,0,0,0
55242,0,0,0,0,0
55881,0,0,0,0,0
56480,0,0,0,0,0
56967,0,0,0,0,0
57264,0,0,0,0,0
58545,0,0,0,0,0
59269,0,0,0,0,0
60289,0,0,0,0,0
60954,0,0,0,0,0
61638,0,0,0,0,0
62583,0,0,0,0,0
62584,0,0,0,0,0
63079,0,0,0,0,0
64228,0,0,0,0,0
64229,0,0,0,0,0
65180,0,0,0,0,0
65596,0,0,0,0,0
66026,0,0,0,0,0
66791,0,0,0,0,0
68398,0,0,0,0,0
69164,0,0,0,0,0
70510,0,0,0,0,0
70511,0,0,0,0,0
71361,0,0,0,0,0
72223,0,0,0,0,0
47553,90,0,6,2,1
48120,90,0,2,1,0
48699,90,0,9,2,0
49298,90,0,17,3,1
49904,77,0,9,2,0
50515,90,0,5,1,0
51128,90,0,14,2,0
51746,90,1,22,3,0
52364,90,0,22,5,0
52987,90,0,2,2,0
53612,90,0,17,1,0
54242,69,0,20,3,1
54817,90,0,15,2,0
55453,90,0,8,2,0
56089,90,0,18,2,0
57378,90,0,14,1,0
57825,0,0,0,0,0
58359,90,0,12,2,0
58360,90,0,13,2,0
59061,90,0,10,2,0
59062,90,0,19,5,0
59777,90,0,10,1,0
60527,90,0,8,2,0
61176,90,0,13,3,1
61913,90,0,26,7,0
62904,90,0,9,2,0
63560,58,0,6,1,0
64546,80,0,17,3,1
65404,90,0,11,1,0
65806,90,0,9,2,0
66584,90,0,11,3,1
67315,90,3,34,10,0
68171,0,0,0,0,0
68955,70,0,11,2,0
69714,90,1,33,7,1
71608,90,0,25,4,0
71731,0,0,0,0,0
72797,72,0,14,2,0
73375,79,0,9,3,1
73964,90,1,24,8,0
74563,68,0,13,2,0
75168,0,0,0,0,0
75788,0,0,0,0,0
76287,0,0,0,0,0
76861,0,0,0,0,0
77502,0,0,0,0,0
78145,0,0,0,0,0
78740,0,0,0,0,0
79375,0,0,0,0,0
80030,0,0,0,0,0
80691,0,0,0,0,0
81357,28,0,4,1,0
82029,81,1,25,6,0
82706,90,0,22,6,1
83447,90,0,24,5,0
84258,90,0,16,3,1
85004,90,0,14,3,1
85784,90,0,10,3,1
86604,90,0,17,4,0
87365,83,0,7,1,0
88860,90,2,26,7,0
89721,73,0,12,1,0
89722,90,2,30,8,1
90354,90,0,17,1,0
91382,90,0,6,2,0
91383,74,0,4,1,0
92259,80,0,4,2,0
93015,90,0,11,2,0
93670,45,0,0,0,0
94387,0,0,0,0,0
95302,0,0,0,0,0
96127,0,0,0,0,0
96940,0,0,0,0,0
97845,0,0,0,0,0
98669,0,0,0,0,0
98976,71,0,9,2,0
99629,78,0,11,3,1
100232,90,0,21,5,0
100921,90,0,20,2,0
101626,71,0,6,1,0
102343,90,0,19,2,0
23078,0,0,0,0,0
23619,0,0,0,0,0
24175,7,0,7,1,0
24741,86,0,6,2,0
25677,80,0,7,3,1
26272,0,0,0,0,0
26872,0,0,0,0,0
27473,0,0,0,0,0
28075,16,0,3,1,0
28632,60,0,24,8,1
29222,0,0,0,0,0
29829,90,0,12,2,0
30439,83,0,12,6,1
31053,90,0,14,2,0
31568,90,0,-4,2,0
32113,90,0,13,1,0
33378,90,0,15,3,1
33379,90,0,2,2,0
34090,14,0,3,1,0
34738,45,0,8,4,0
35399,25,0,-2,0,0
36064,0,0,0,0,0
36837,0,0,0,0,0
37584,0,0,0,0,0
38650,25,0,-1,1,0
38651,24,0,4,1,0
39555,1,0,4,1,0
40253,67,0,3,3,1
41217,45,0,21,6,0
41908,90,3,51,15,0
42592,90,0,11,3,1
43178,73,0,13,3,1
43784,0,0,0,0,0
44777,90,0,9,2,0
44778,90,0,10,2,0
46105,90,0,2,2,0
46817,90,0,17,5,0
47157,81,0,21,8,1
47717,0,0,0,0,0
48288,0,0,0,0,0
48873,0,0,0,0,0
49475,0,0,0,0,0
50082,0,0,0,0,0
50694,0,0,0,0,0
51308,0,0,0,0,0
51926,0,0,0,0,0
52546,0,0,0,0,0
53169,5,0,3,1,0
53797,28,0,14,6,0
54416,12,0,4,1,0
55004,90,0,9,2,0
55642,18,0,2,1,0
56267,0,0,0,0,0
56801,90,0,-1,2,0
57170,90,0,1,3,1
57505,90,0,10,2,0
57959,90,0,10,2,0
58853,90,0,17,6,0
59597,68,0,7,3,1
59598,0,0,0,0,0
60003,0,0,0,0,0
62212,90,0,0,2,1
63855,90,2,43,13,1
63856,0,0,0,0,0
64825,12,0,2,1,0
66377,0,0,0,0,0
67108,45,0,0,1,0
67939,0,0,0,0,0
68744,14,0,25,6,0
68745,19,0,3,1,0
69485,22,0,2,1,0
70060,90,0,17,5,0
70061,77,0,19,8,1
70814,71,0,-2,2,0
71944,0,0,0,0,0
72880,25,0,7,1,0
73459,6,0,2,1,0
74050,26,0,3,1,0
74649,15,0,3,1,0
75255,24,0,-3,0,0
75876,59,0,2,1,0
76954,6,0,13,4,0
77595,71,0,25,8,1
78238,0,0,0,0,0
78829,29,0,4,1,0
79469,16,0,2,1,0
80124,78,0,7,2,0
80785,12,0,4,1,0
81451,45,0,1,1,0
82124,81,0,1,3,1
82802,86,0,12,2,0
83558,21,0,3,1,0
83559,0,0,0,0,0
84384,0,0,0,0,0
85107,0,0,0,0,0
85909,0,0,0,0,0
86721,0,0,0,0,0
87475,0,0,0,0,0
88223,0,0,0,0,0
88970,0,0,0,0,0
89853,17,0,1,1,0
90431,61,0,8,3,1
91568,10,0,3,1,0
91569,0,0,0,0,0
92372,29,0,-4,1,0
93130,55,0,2,1,0
94502,0,0,0,0,0
95454,0,0,0,0,0
96242,0,0,0,0,0
97071,0,0,0,0,0
97994,5,0,3,1,0
97995,26,0,3,1,0
98786,2,0,0,1,0
99433,0,0,0,0,0
100040,0,0,0,0,0
100707,0,0,0,0,0
101408,0,0,0,0,0
102122,0,0,0,0,0
102840,0,0,0,0,0
75058,0,0,0,0,0
75675,0,0,0,0,0
76196,0,0,0,0,0
76744,0,0,0,0,0
77385,0,0,0,0,0
78027,0,0,0,0,0
78635,0,0,0,0,0
79256,0,0,0,0,0
79910,0,0,0,0,0
80570,0,0,0,0,0
81235,0,0,0,0,0
81906,0,0,0,0,0
82582,0,0,0,0,0
83305,0,0,0,0,0
84109,0,0,0,0,0
84876,0,0,0,0,0
85639,0,0,0,0,0
86461,0,0,0,0,0
87232,0,0,0,0,0
87977,0,0,0,0,0
88727,0,0,0,0,0
89564,0,0,0,0,0
90262,0,0,0,0,0
91174,0,0,0,0,0
91175,0,0,0,0,0
92125,0,0,0,0,0
92881,0,0,0,0,0
93561,0,0,0,0,0
94253,0,0,0,0,0
95125,0,0,0,0,0
95992,0,0,0,0,0
96794,0,0,0,0,0
97683,0,0,0,0,0
98532,0,0,0,0,0
23079,0,0,0,0,0
23620,0,0,0,0,0
24176,0,0,0,0,0
24742,0,0,0,0,0
25532,0,0,0,0,0
26122,0,0,0,0,0
26721,0,0,0,0,0
27322,0,0,0,0,0
27923,0,0,0,0,0
28493,0,0,0,0,0
29070,0,0,0,0,0
29677,0,0,0,0,0
30286,0,0,0,0,0
30898,0,0,0,0,0
31437,0,0,0,0,0
31972,0,0,0,0,0
32460,0,0,0,0,0
33138,0,0,0,0,0
33932,0,0,0,0,0
34580,0,0,0,0,0
35237,0,0,0,0,0
35902,0,0,0,0,0
36644,0,0,0,0,0
37407,0,0,0,0,0
38364,0,0,0,0,0
38943,0,0,0,0,0
39697,0,0,0,0,0
40366,0,0,0,0,0
40660,0,0,0,0,0
41347,0,0,0,0,0
42038,0,0,0,0,0
42725,0,0,0,0,0
43278,0,0,0,0,0
43918,0,0,0,0,0
44956,0,0,0,0,0
45529,0,0,0,0,0
46235,0,0,0,0,0
47521,0,0,0,0,0
48088,0,0,0,0,0
48665,0,0,0,0,0
49264,0,0,0,0,0
49870,0,0,0,0,0
50481,0,0,0,0,0
51094,0,0,0,0,0
51712,0,0,0,0,0
52330,0,0,0,0,0
52953,0,0,0,0,0
53578,0,0,0,0,0
54209,0,0,0,0,0
54783,0,0,0,0,0
55419,0,0,0,0,0
56057,0,0,0,0,0
56631,0,0,0,0,0
57351,0,0,0,0,0
57805,0,0,0,0,0
58414,0,0,0,0,0
59117,0,0,0,0,0
59735,0,0,0,0,0
60494,0,0,0,0,0
61142,0,0,0,0,0
61862,0,0,0,0,0
62958,0,0,0,0,0
63501,0,0,0,0,0
63502,45,0,4,0,0
64497,0,0,0,0,0
65868,0,0,0,0,0
66642,0,0,0,0,0
67384,0,0,0,0,0
68232,57,0,10,0,0
69013,0,0,0,0,0
69647,0,0,0,0,0
69648,0,0,0,0,0
71067,0,0,0,0,0
71692,54,0,2,0,0
100076,0,0,0,0,0
100750,0,0,0,0,0
101453,0,0,0,0,0
102168,0,0,0,0,0
102886,0,0,0,0,0
48024,0,0,0,0,0
48601,0,0,0,0,0
49199,68,0,13,2,0
49805,20,0,3,1,0
50416,21,0,3,1,0
51029,0,0,0,0,0
51646,0,0,0,0,0
52264,0,0,0,0,0
52887,21,0,3,1,0
53511,0,0,0,0,0
54141,1,0,3,1,0
54715,22,0,5,1,0
55351,45,0,7,1,0
55991,0,0,0,0,0
56575,0,0,0,0,0
57037,0,0,0,0,0
57751,15,0,3,1,0
58211,67,0,5,2,0
58454,18,0,2,1,0
59165,3,0,3,1,0
60423,0,0,0,0,0
61062,0,0,0,0,0
61759,0,0,0,0,0
62759,0,0,0,0,0
62998,0,0,0,0,0
64392,0,0,0,0,0
64393,0,0,0,0,0
65340,0,0,0,0,0
65923,9,0,3,1,0
66693,1,0,3,1,0
67452,0,0,0,0,0
68288,15,0,2,1,0
69064,0,0,0,0,0
70713,0,0,0,0,0
70714,0,0,0,0,0
71330,0,0,0,0,0
72347,0,0,0,0,0
23083,0,0,0,0,0
23624,0,0,0,0,0
24180,0,0,0,0,0
24746,0,0,0,0,0
25684,0,0,0,0,0
26279,0,0,0,0,0
26879,0,0,0,0,0
27480,90,0,9,1,0
28082,90,0,25,6,1
29229,90,0,17,2,0
29836,90,0,25,6,0
30446,90,0,11,1,0
31060,90,0,6,1,0
31571,90,0,17,5,1
32118,90,0,9,1,0
32559,90,0,12,2,0
33388,90,0,11,1,0
33389,0,0,0,0,0
34098,0,0,0,0,0
34746,36,0,4,1,0
35408,88,0,15,1,0
36073,0,0,0,0,0
36849,90,0,9,1,0
37595,90,0,10,1,0
38668,90,0,9,1,0
38921,90,2,33,8,1
39676,90,0,9,0,0
40360,90,0,15,1,0
40639,0,0,0,0,0
41326,90,0,11,2,0
42017,90,0,12,1,0
42707,63,0,7,2,0
43262,83,0,15,1,0
43885,0,0,0,0,0
44941,0,0,0,0,0
45508,0,0,0,0,0
46214,0,0,0,0,0
47025,90,0,12,0,0
47581,0,0,0,0,0
48148,0,0,0,0,0
48729,83,0,13,1,0
49328,90,0,9,2,0
49934,90,0,7,2,0
50545,90,0,14,0,0
51158,90,0,11,0,0
51776,90,0,10,2,0
52394,90,0,17,1,0
53017,90,1,22,6,0
53643,90,0,13,1,0
54272,0,0,0,0,0
54848,8,0,-7,-2,0
55484,0,0,0,0,0
56117,0,0,0,0,0
56682,0,0,0,0,0
57099,90,0,6,0,0
57398,0,0,0,0,0
59390,0,0,0,0,0
59810,21,0,4,1,0
60553,0,0,0,0,0
61211,0,0,0,0,0
61956,0,0,0,0,0
63181,0,0,0,0,0
63606,0,0,0,0,0
63607,0,0,0,0,0
64588,0,0,0,0,0
64589,0,0,0,0,0
66154,0,0,0,0,0
66906,0,0,0,0,0
67706,0,0,0,0,0
67707,0,0,0,0,0
68522,0,0,0,0,0
69280,0,0,0,0,0
69765,0,0,0,0,0
71029,0,0,0,0,0
71763,0,0,0,0,0
72476,0,0,0,0,0
73050,0,0,0,0,0
73632,0,0,0,0,0
74225,0,0,0,0,0
74827,0,0,0,0,0
75436,0,0,0,0,0
76023,0,0,0,0,0
76502,0,0,0,0,0
77141,0,0,0,0,0
77782,0,0,0,0,0
78415,0,0,0,0,0
79010,0,0,0,0,0
79660,0,0,0,0,0
80318,0,0,0,0,0
80980,0,0,0,0,0
81648,0,0,0,0,0
82324,0,0,0,0,0
83016,0,0,0,0,0
83799,0,0,0,0,0
84609,0,0,0,0,0
85338,0,0,0,0,0
86150,0,0,0,0,0
86950,0,0,0,0,0
88445,0,0,0,0,0
89225,0,0,0,0,0
90052,0,0,0,0,0
90714,0,0,0,0,0
90715,0,0,0,0,0
91843,0,0,0,0,0
92598,0,0,0,0,0
93333,0,0,0,0,0
93968,0,0,0,0,0
94768,0,0,0,0,0
95707,0,0,0,0,0
96482,0,0,0,0,0
96483,0,0,0,0,0
97335,0,0,0,0,0
98241,0,0,0,0,0
52127,0,0,0,0,0
52749,0,0,0,0,0
53373,0,0,0,0,0
54002,0,0,0,0,0
54596,0,0,0,0,0
55212,0,0,0,0,0
55851,0,0,0,0,0
56455,0,0,0,0,0
56948,0,0,0,0,0
57248,0,0,0,0,0
57656,0,0,0,0,0
58113,0,0,0,0,0
58324,0,0,0,0,0
59019,0,0,0,0,0
60254,0,0,0,0,0
60926,0,0,0,0,0
61608,0,0,0,0,0
62534,0,0,0,0,0
62868,0,0,0,0,0
64182,0,0,0,0,0
65135,0,0,0,0,0
65762,0,0,0,0,0
66545,0,0,0,0,0
67265,0,0,0,0,0
68125,0,0,0,0,0
68915,0,0,0,0,0
70455,0,0,0,0,0
70456,0,0,0,0,0
71451,0,0,0,0,0
72190,0,0,0,0,0
23625,0,0,0,0,0
24181,0,0,0,0,0
24747,0,0,0,0,0
25327,0,0,0,0,0
25917,0,0,0,0,0
26516,0,0,0,0,0
27116,0,0,0,0,0
27717,0,0,0,0,0
28308,0,0,0,0,0
28863,0,0,0,0,0
29470,0,0,0,0,0
30077,0,0,0,0,0
30688,0,0,0,0,0
31784,0,0,0,0,0
32318,0,0,0,0,0
32813,0,0,0,0,0
32814,0,0,0,0,0
33711,0,0,0,0,0
34355,0,0,0,0,0
35007,0,0,0,0,0
35671,0,0,0,0,0
36368,0,0,0,0,0
36369,0,0,0,0,0
37152,0,0,0,0,0
37970,0,0,0,0,0
37971,0,0,0,0,0
39370,0,0,0,0,0
39371,0,0,0,0,0
40089,0,0,0,0,0
41053,0,0,0,0,0
41743,0,0,0,0,0
42433,0,0,0,0,0
43632,0,0,0,0,0
44521,0,0,0,0,0
45279,0,0,0,0,0
45935,0,0,0,0,0
46645,0,0,0,0,0
35945,0,0,0,0,0
36694,0,0,0,0,0
36695,0,0,0,0,0
37453,0,0,0,0,0
38437,0,0,0,0,0
38438,0,0,0,0,0
39402,0,0,0,0,0
39403,0,0,0,0,0
40116,0,0,0,0,0
41080,0,0,0,0,0
41770,0,0,0,0,0
42459,0,0,0,0,0
43658,0,0,0,0,0
44566,0,0,0,0,0
45303,0,0,0,0,0
45964,0,0,0,0,0
46674,0,0,0,0,0
74439,0,0,0,0,0
75044,0,0,0,0,0
75661,0,0,0,0,0
76183,0,0,0,0,0
76729,0,0,0,0,0
77370,0,0,0,0,0
78012,0,0,0,0,0
79241,0,0,0,0,0
79895,0,0,0,0,0
80555,0,0,0,0,0
81220,0,0,0,0,0
81891,0,0,0,0,0
82567,0,0,0,0,0
83289,0,0,0,0,0
84091,0,0,0,0,0
84092,0,0,0,0,0
84859,0,0,0,0,0
85621,0,0,0,0,0
86441,0,0,0,0,0
86442,0,0,0,0,0
87214,0,0,0,0,0
87960,0,0,0,0,0
88709,0,0,0,0,0
89544,0,0,0,0,0
91144,0,0,0,0,0
92107,0,0,0,0,0
92863,0,0,0,0,0
94235,0,0,0,0,0
95103,0,0,0,0,0
95104,0,0,0,0,0
95974,0,0,0,0,0
96772,0,0,0,0,0
97663,0,0,0,0,0
97664,0,0,0,0,0
98514,0,0,0,0,0
73500,0,0,0,0,0
74091,0,0,0,0,0
74692,0,0,0,0,0
75300,0,0,0,0,0
75924,90,0,14,2,0
76372,90,0,12,1,0
77002,70,0,8,1,0
77643,0,0,0,0,0
78286,0,0,0,0,0
78874,0,0,0,0,0
79518,80,1,24,5,0
80174,90,0,19,1,0
80835,90,0,9,1,0
81501,56,0,6,0,0
82175,90,2,30,6,0
82853,90,0,12,0,0
83617,85,0,28,6,1
84442,87,0,10,0,0
84443,12,0,0,1,0
85159,0,0,0,0,0
85971,0,0,0,0,0
86780,0,0,0,0,0
87530,77,0,22,6,1
88279,90,0,22,6,1
89025,90,0,7,2,0
89918,90,0,16,2,0
90471,90,0,24,1,0
91659,76,3,26,8,1
92429,90,0,18,2,0
93188,34,0,6,1,0
93805,0,0,0,0,0
94560,90,0,6,1,0
95528,0,0,0,0,0
96300,87,0,20,5,1
97134,90,0,14,1,0
98063,90,0,17,1,0
98846,90,0,14,2,0
101202,0,0,0,0,0
101915,0,0,0,0,0
102632,0,0,0,0,0
44243,0,0,0,0,0
45118,0,0,0,0,0
45743,0,0,0,0,0
46451,0,0,0,0,0
47774,0,0,0,0,0
48347,0,0,0,0,0
48938,0,0,0,0,0
49542,0,0,0,0,0
50150,0,0,0,0,0
50762,0,0,0,0,0
51376,0,0,0,0,0
51994,0,0,0,0,0
52614,19,0,-3,0,0
53237,0,0,0,0,0
53866,0,0,0,0,0
54478,0,0,0,0,0
55074,0,0,0,0,0
55712,0,0,0,0,0
56333,0,0,0,0,0
56854,17,0,4,0,0
57198,90,0,13,0,0
58649,0,0,0,0,0
59386,0,0,0,0,0
60088,0,0,0,0,0
60788,0,0,0,0,0
61454,0,0,0,0,0
62319,0,0,0,0,0
62320,0,0,0,0,0
63177,0,0,0,0,0
63965,0,0,0,0,0
63966,0,0,0,0,0
64939,0,0,0,0,0
65520,0,0,0,0,0
66149,0,0,0,0,0
66901,0,0,0,0,0
68517,0,0,0,0,0
69275,0,0,0,0,0
70207,0,0,0,0,0
70208,0,0,0,0,0
71376,0,0,0,0,0
72034,0,0,0,0,0
72504,0,0,0,0,0
73079,0,0,0,0,0
73663,0,0,0,0,0
74257,0,0,0,0,0
74859,0,0,0,0,0
75469,70,0,16,1,0
76536,0,0,0,0,0
77175,0,0,0,0,0
77817,0,0,0,0,0
78446,0,0,0,0,0
79045,0,0,0,0,0
79695,0,0,0,0,0
80353,0,0,0,0,0
81016,0,0,0,0,0
81684,0,0,0,0,0
82360,0,0,0,0,0
83053,0,0,0,0,0
83840,0,0,0,0,0
84645,0,0,0,0,0
85376,0,0,0,0,0
85377,0,0,0,0,0
86191,0,0,0,0,0
86987,0,0,0,0,0
87723,0,0,0,0,0
88482,0,0,0,0,0
89270,0,0,0,0,0
90081,0,0,0,0,0
90780,0,0,0,0,0
90781,0,0,0,0,0
91880,0,0,0,0,0
92635,0,0,0,0,0
93364,0,0,0,0,0
94005,0,0,0,0,0
94813,0,0,0,0,0
95744,0,0,0,0,0
96523,0,0,0,0,0
97381,0,0,0,0,0
98280,0,0,0,0,0
84299,90,0,5,2,0
85039,81,0,-3,3,1
85828,84,0,10,2,0
86646,79,0,23,8,1
87404,58,0,16,6,0
88153,84,0,-1,3,1
88154,14,0,2,1,0
88899,78,1,44,14,1
89768,90,0,1,2,0
91451,81,0,5,2,0
91452,11,0,-1,1,0
92301,90,0,13,2,0
93057,80,0,36,10,0
93702,59,0,1,1,0
94429,77,3,32,10,0
95359,72,0,27,8,0
95360,24,0,4,1,0
96169,90,0,7,3,1
96985,90,0,4,3,1
97897,90,0,6,2,0
98711,33,0,25,6,0
99194,65,0,5,2,0
99822,62,0,10,2,0
100456,57,0,2,1,0
101151,25,0,1,1,0
101862,55,1,24,6,0
102579,9,0,-1,1,0
24182,0,0,0,0,0
24748,0,0,0,0,0
25395,0,0,0,0,0
25985,0,0,0,0,0
26584,0,0,0,0,0
27184,0,0,0,0,0
27785,0,0,0,0,0
28371,0,0,0,0,0
28931,0,0,0,0,0
29538,0,0,0,0,0
30145,0,0,0,0,0
30756,0,0,0,0,0
31845,0,0,0,0,0
32358,0,0,0,0,0
32917,0,0,0,0,0
32918,0,0,0,0,0
33781,0,0,0,0,0
34427,0,0,0,0,0
35081,0,0,0,0,0
35746,0,0,0,0,0
36456,0,0,0,0,0
36457,0,0,0,0,0
37233,0,0,0,0,0
38103,0,0,0,0,0
38104,0,0,0,0,0
39093,0,0,0,0,0
39094,0,0,0,0,0
39837,0,0,0,0,0
40800,0,0,0,0,0
41487,0,0,0,0,0
42178,0,0,0,0,0
43399,0,0,0,0,0
44138,0,0,0,0,0
45062,0,0,0,0,0
45671,0,0,0,0,0
46379,0,0,0,0,0
47289,0,0,0,0,0
47852,21,0,3,1,0
48428,0,0,0,0,0
49022,0,0,0,0,0
49626,0,0,0,0,0
50234,0,0,0,0,0
50846,0,0,0,0,0
51461,1,0,4,1,0
52079,0,0,0,0,0
52701,0,0,0,0,0
53325,0,0,0,0,0
53954,86,0,20,6,1
54555,0,0,0,0,0
55163,0,0,0,0,0
55802,0,0,0,0,0
56413,0,0,0,0,0
56918,0,0,0,0,0
57231,13,0,2,1,0
57619,0,0,0,0,0
58070,0,0,0,0,0
58750,0,0,0,0,0
